,sales,date,region
0,1638.0,2018-02-06,north
1,1647.0,2018-02-06,south
2,1731.0,2018-02-06,east
3,1557.0,2018-02-06,west
4,1587.0,2018-02-07,north
5,1698.0,2018-02-07,south
6,1542.0,2018-02-07,east
7,1635.0,2018-02-07,west
8,1602.0,2018-02-08,north
9,1536.0,2018-02-08,south
10,1503.0,2018-02-08,east
11,1701.0,2018-02-08,west
12,1758.0,2018-02-09,north
13,1662.0,2018-02-09,south
14,1782.0,2018-02-09,east
15,1515.0,2018-02-09,west
16,1662.0,2018-02-10,north
17,1557.0,2018-02-10,south
18,1650.0,2018-02-10,east
19,1674.0,2018-02-10,west
20,1554.0,2018-02-11,north
21,1587.0,2018-02-11,south
22,1563.0,2018-02-11,east
23,1764.0,2018-02-11,west
24,1758.0,2018-02-12,north
25,1608.0,2018-02-12,south
26,1569.0,2018-02-12,east
27,1653.0,2018-02-12,west
28,1572.0,2018-02-13,north
29,1716.0,2018-02-13,south
30,1773.0,2018-02-13,east
31,1725.0,2018-02-13,west
32,1767.0,2018-02-14,north
33,1710.0,2018-02-14,south
34,1698.0,2018-02-14,east
35,1512.0,2018-02-14,west
36,1746.0,2018-02-15,north
37,1734.0,2018-02-15,south
38,1524.0,2018-02-15,east
39,1614.0,2018-02-15,west
40,1578.0,2018-02-16,north
41,1782.0,2018-02-16,south
42,1527.0,2018-02-16,east
43,1752.0,2018-02-16,west
44,1785.0,2018-02-17,north
45,1689.0,2018-02-17,south
46,1641.0,2018-02-17,east
47,1575.0,2018-02-17,west
48,1644.0,2018-02-18,north
49,1674.0,2018-02-18,south
50,1551.0,2018-02-18,east
51,1737.0,2018-02-18,west
52,1563.0,2018-02-19,north
53,1647.0,2018-02-19,south
54,1605.0,2018-02-19,east
55,1539.0,2018-02-19,west
56,1698.0,2018-02-20,north
57,1575.0,2018-02-20,south
58,1500.0,2018-02-20,east
59,1551.0,2018-02-20,west
60,1737.0,2018-02-21,north
61,1542.0,2018-02-21,south
62,1665.0,2018-02-21,east
63,1548.0,2018-02-21,west
64,1635.0,2018-02-22,north
65,1632.0,2018-02-22,south
66,1668.0,2018-02-22,east
67,1764.0,2018-02-22,west
68,1533.0,2018-02-23,north
69,1563.0,2018-02-23,south
70,1641.0,2018-02-23,east
71,1773.0,2018-02-23,west
72,1629.0,2018-02-24,north
73,1698.0,2018-02-24,south
74,1725.0,2018-02-24,east
75,1722.0,2018-02-24,west
76,1596.0,2018-02-25,north
77,1710.0,2018-02-25,south
78,1635.0,2018-02-25,east
79,1659.0,2018-02-25,west
80,1686.0,2018-02-26,north
81,1533.0,2018-02-26,south
82,1524.0,2018-02-26,east
83,1530.0,2018-02-26,west
84,1665.0,2018-02-27,north
85,1695.0,2018-02-27,south
86,1578.0,2018-02-27,east
87,1620.0,2018-02-27,west
88,1767.0,2018-02-28,north
89,1593.0,2018-02-28,south
90,1743.0,2018-02-28,east
91,1557.0,2018-02-28,west
92,1668.0,2018-03-01,north
93,1782.0,2018-03-01,south
94,1527.0,2018-03-01,east
95,1668.0,2018-03-01,west
96,1635.0,2018-03-02,north
97,1569.0,2018-03-02,south
98,1746.0,2018-03-02,east
99,1773.0,2018-03-02,west
100,1539.0,2018-03-03,north
101,1500.0,2018-03-03,south
102,1569.0,2018-03-03,east
103,1557.0,2018-03-03,west
104,1773.0,2018-03-04,north
105,1644.0,2018-03-04,south
106,1614.0,2018-03-04,east
107,1674.0,2018-03-04,west
108,1533.0,2018-03-05,north
109,1653.0,2018-03-05,south
110,1557.0,2018-03-05,east
111,1746.0,2018-03-05,west
112,1719.0,2018-03-06,north
113,1719.0,2018-03-06,south
114,1659.0,2018-03-06,east
